ID	samplenum	museum	taxa	state	date	lat	long	gps_est	sex	crown	ear	throat	nuchal	shaft	malar	HI_total	HI_stand
samplenofl49toNOFL_sorted	58072	CUMV	INT	CO	1-Jun-18	40.821391	-102.869919	N	M	0	1	3	1	0	0	5	0.208
samplenofl50toNOFL_sorted	57988	CUMV	INT	CO	29-May-17	40.28252	-103.70253	N	M	2	3	3	0	1	2	11	0.458333333
samplenofl51toNOFL_sorted	58085	CUMV	INT	CO	1-Jun-18	40.82281	-102.867182	N	F	1	3	3	2	2	NA	11	0.55
samplenofl52toNOFL_sorted	58090	CUMV	INT	CO	6-Jun-18	40.405682	-103.391182	N	M	1	1	4	0	1	1	8	0.333
samplenofl53toNOFL_sorted	57610	CUMV	INT	CO	8-Jun-17	40.83889	-102.81204	N	F	3	0	0	4	4	NA	11	0.55
samplenofl54toNOFL_sorted	58063	CUMV	INT	CO	9-Jun-18	40.877542	-105.459179	N	M	4	3	4	4	4	4	23	0.958
samplenofl55toNOFL_sorted	58079	CUMV	INT	CO	5-Jun-18	40.27433	-103.726212	N	M	3	3	4	1	0	3	14	0.583
samplenofl56toNOFL_sorted	58070	CUMV	INT	CO	7-Jun-18	40.375778	-104.46661	N	M	3	3	4	1	3	4	18	0.75
samplenofl57toNOFL_sorted	56734	CUMV	INT	NE	23-Jun-16	41.7193	-103.1349	N	F	3	0	2	3	0	NA	8	0.4
samplenofl58toNOFL_sorted	58067	CUMV	INT	CO	8-Jun-18	40.375069	-104.453116	N	M	1	0	0	0	4	4	9	0.375
samplenofl59toNOFL_sorted	58084	CUMV	INT	CO	3-Jun-18	40.82256	-102.866412	N	M	2	1	3	0	2	1	9	0.375
samplenofl60toNOFL_sorted	58080	CUMV	INT	CO	5-Jun-18	40.273866	-103.729792	N	M	3	3	4	1	3	3	17	0.708
samplenofl61toNOFL_sorted	58069	CUMV	INT	CO	8-Jun-18	40.377355	-104.45575	N	M	1	3	4	3	3	3	17	0.708
samplenofl62toNOFL_sorted	58065	CUMV	INT	NE	12-Jun-18	41.449911	-102.530652	N	M	1	0	3	0	0	0	4	0.167
samplenofl63toNOFL_sorted	57967	CUMV	INT	CO	3-Jun-17	40.39464	-104.49341	N	M	3	4	4	1	1	3	16	0.666666667
samplenofl64toNOFL_sorted	58075	CUMV	INT	CO	7-Jun-18	40.375778	-104.46661	N	F	1	2	4	2	0	NA	9	0.45
samplenofl65toNOFL_sorted	58078	CUMV	INT	CO	9-Jun-18	40.972812	-105.52582	N	M	4	4	4	1	4	4	21	0.875
samplenofl66toNOFL_sorted	58091	CUMV	INT	NE	30-May-18	41.277227	-101.985856	N	M	0	0	3	0	0	0	3	0.125
samplenofl67toNOFL_sorted	58068	CUMV	INT	NE	10-Jun-18	41.903041	-103.434327	N	M	1	4	4	3	1	3	16	0.667
samplenofl68toNOFL_sorted	58060	CUMV	INT	CO	5-Jun-18	40.312075	-103.620212	N	F	1	0	0	4	0	NA	5	0.25
samplenofl69toNOFL_sorted	58148	CUMV	INT	NE	12-Jun-18	41.44904	-102.529292	N	M	1	0	2	2	4	3	12	0.5
samplenofl70toNOFL_sorted	58077	CUMV	INT	CO	9-Jun-18	40.928196	-105.530184	N	M	4	3	4	4	4	4	23	0.958
samplenofl71toNOFL_sorted	57608	CUMV	INT	CO	7-Jun-17	40.83889	-102.81204	N	F	3	0	0	4	1	NA	8	0.4
samplenofl72toNOFL_sorted	56715	CUMV	INT	NE	5-Jun-16	40.91	-96.79	N	F	3	0	0	0	0	NA	3	0.15
